Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
SUCBZS,O-succinylbenzoate-CoA synthase,2shchc_c  -> sucbz_c + h2o_c ,4.2.1.113,35475.560000000005,52
DHBD_f,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",nad_c + 23ddhb_c  -> h_c + 23dhb_c + nadh_c ,1.3.1.28,26248.920000000002,25.3
ICHORT,Isochorismatase,ichor_c + h2o_c  -> pyr_c + 23ddhb_c ,3.3.2.1,32553.33,10
RBK_L1,L-ribulokinase (L-ribulose),atp_c + rbl__L_c  -> h_c + adp_c + ru5p__L_c ,2.7.1.16,61087.75,40.42
RBP4E_f,L-ribulose-phosphate 4-epimerase,ru5p__L_c  -> xu5p__D_c ,5.1.3.4,25451.769999999997,15.825
NTD2,5'-nucleotidase (UMP),ump_c + h2o_c  -> pi_c + uri_c ,3.1.3.5,26453.90666666667,1.2
NTD4,5'-nucleotidase (CMP),h2o_c + cmp_c  -> pi_c + cytd_c ,3.1.3.5,27030.92,202
NTD5,5'-nucleotidase (dTMP),dtmp_c + h2o_c  -> pi_c + thymd_c ,"3.1.3.5, 3.1.3.89",23790.425,0.195
NTD6,5'-nucleotidase (dAMP),h2o_c + damp_c  -> pi_c + dad_2_c ,"3.1.3.5, 3.1.3.89",23287.27333333333,0.22
LGTHL,Lactoylglutathione lyase,gthrd_c + mthgxl_c  -> lgt__S_c ,4.4.1.5,14919.39,1088
PYDXPP,Pyridoxal 5-phosphate phosphatase,pydx5p_c + h2o_c  -> pi_c + pydx_c ,3.1.3.74,29359.9125,1.52
PDXPP,Pyridoxine 5-phosphate phosphatase,pdx5p_c + h2o_c  -> pydxn_c + pi_c ,3.1.3.74,30200.5,1.25
HACD6_f,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),h_c + 3otdcoa_c + nadh_c  -> nad_c + 3htdcoa_c ,1.1.1.35,78330.795,229
ECOAH1_f,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),3hbcoa_c  -> h2o_c + b2coa_c ,"1.1.1.35, 4.2.1.17",78330.795,15
ECOAH2_f,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),3hhcoa_c  -> hx2coa_c + h2o_c ,"1.1.1.35, 4.2.1.17",78330.795,380.5
ECOAH3_f,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),3hocoa_c  -> h2o_c + oc2coa_c ,"1.1.1.35, 4.2.1.17",78330.795,380.5
UGLT_f,UDPglucose--hexose-1-phosphate uridylyltransferase,gal1p_c + udpg_c  -> udpgal_c + g1p_c ,2.7.7.12,39644.42,628.8
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,h_c + g3p_c + pyr_c  -> dxyl5p_c + co2_c ,2.2.1.7,67614.89,2.6
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c  -> h_c + 2p4c2me_c + adp_c ,2.7.1.148,30924.42,14.804833333333335
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c  -> 2mecdp_c + cmp_c ,4.6.1.12,16897.09,2.7
DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c  -> h_c + adp_c + 2ddg6p_c ,2.7.1.45,33961.31999999999,11
XYLI2_f,Xylose isomerase,glc__D_c  -> fru_c ,5.3.1.5,49740.58,4.54
PMANM_f,Phosphomannomutase,man1p_c  -> man6p_c ,5.4.2.8,50460.99,134.9
ICL,Isocitrate lyase,icit_c  -> glx_c + succ_c ,4.1.3.1,47520.18000000001,5.2
GLYCL,Glycine Cleavage System,nad_c + thf_c + gly_c  -> nh4_c + mlthf_c + nadh_c + co2_c ,1.8.1.4,208962.63999999998,135.5
HCYSMT,Homocysteine S-methyltransferase,amet_c + hcys__L_c  -> h_c + met__L_c + ahcys_c ,2.1.1.10,33421.96,0.38
UDPG4E_f,UDPglucose 4-epimerase,udpg_c  -> udpgal_c ,5.1.3.2,37263.93,0.52
LACZ,B-galactosidase,lcts_c + h2o_c  -> glc__D_c + gal_c ,3.2.1.23,116479.20999999999,6300
TRE6PH,Trehalose-6-phosphate hydrolase,h2o_c + tre6p_c  -> glc__D_c + g6p_c ,3.2.1.93,63835.67,72.26174999999999
XYLI1_f,Xylose isomerase,xyl__D_c  -> xylu__D_c ,5.3.1.5,49740.58,47
PPC,Phosphoenolpyruvate carboxylase,pep_c + h2o_c + co2_c  -> h_c + pi_c + oaa_c ,4.1.1.31,99059.71,540
G3PT,Glycerol-3-phosphatase,glyc3p_c + h2o_c  -> pi_c + glyc_c ,3.1.3.5,28787.095000000005,9.84
CINNDO,Cinnamate dioxygenase,h_c + o2_c + cinnm_c + nadh_c  -> nad_c + cenchddd_c ,1.18.1.3,126937.6,4.5
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",nad_c + cechddd_c  -> h_c + dhpppn_c + nadh_c ,1.3.1.87,28498.829999999998,0.45
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",nad_c + cenchddd_c  -> h_c + dhcinnm_c + nadh_c ,1.3.1.87,28498.829999999998,0.45
CITL,Citrate lyase,cit_c  -> ac_c + oaa_c ,"2.8.3.10, 4.1.3.34",119184.45000000004,298.35
GOFUCR,GDP-4-oxo-L-fucose reductase,h_c + gdpofuc_c + nadph_c  -> nadp_c + gdpfuc_c ,1.1.1.271,36140.07,0.75
PYDXK,Pyridoxal kinase,atp_c + pydx_c  -> h_c + pydx5p_c + adp_c ,2.7.1.35,31083.954999999994,2.15
GTPCII2,GTP cyclohydrolase II (25drapp),3 h2o_c + gtp_c  -> 2 h_c + ppi_c + for_c + 25drapp_c ,3.5.4.25,21835.399999999994,0.064
SADT2,Sulfate adenyltransferase,atp_c + h2o_c + so4_c + gtp_c  -> pi_c + gdp_c + ppi_c + aps_c ,2.7.7.4,87726.02999999998,17.026
LCARS_f,"Lacaldehyde reductase (S-propane-1,2-diol forming)",h_c + lald__L_c + nadh_c  -> nad_c + 12ppd__S_c ,1.1.1.77,40512.22,213.43394333333333
ALCD19_f,Alcohol dehydrogenase (glycerol),h_c + glyald_c + nadh_c  -> nad_c + glyc_c ,1.1.1.1,65751.495,153
RMPA_f,Rhamnulose-1-phosphate aldolase,rml1p_c  -> dhap_c + lald__L_c ,4.1.2.19,30144.620000000003,38.3
SBTPD_f,Sorbitol-6-phosphate dehydrogenase,nad_c + sbt6p_c  -> h_c + f6p_c + nadh_c ,1.1.1.140,27857.079999999998,76.08846666666668
PFK_2,Phosphofructokinase,tag6p__D_c + atp_c  -> h_c + adp_c + tagdp__D_c ,2.7.1.11,34840.99,31.0185
GLTPD_f,Galactitol-1-phosphate dehydrogenase,nad_c + galt1p_c  -> h_c + tag6p__D_c + nadh_c ,1.1.1.251,37389.060000000005,76.08846666666668
TGBPA_f,Tagatose-bisphosphate aldolase,tagdp__D_c  -> dhap_c + g3p_c ,4.1.2.40,78183.12000000001,5.38
MANAO_f,Mannonate oxidoreductase,nad_c + mana_c  -> h_c + fruur_c + nadh_c ,1.1.1.57,53578.69,76.08846666666668
TAGURr_f,Tagaturonate reductase,nad_c + altrn_c  -> h_c + tagur_c + nadh_c ,1.1.1.58,54806.67,76.08846666666668
PGLYCP,Phosphoglycolate phosphatase,2pglyc_c + h2o_c  -> glyclt_c + pi_c ,3.1.3.18,27388.34,94
GLXCL,Glyoxalate carboligase,h_c + 2 glx_c  -> 2h3oppan_c + co2_c ,4.1.1.47,64729.94,18.9
TARTD,L(+)-tartrate dehydratase,tartr__L_c  -> h2o_c + oaa_c ,4.2.1.32,55393.34,368.4865
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,5dh4dglc_c  -> 2h3oppan_c + pyr_c ,4.1.2.20,27383.34,27.3
KAS14,Beta-ketoacyl-ACP synthase,h_c + acACP_c + malACP_c  -> actACP_c + co2_c + ACP_c ,2.3.1.41,42828.240000000005,0.05165
EDTXS1,Endotoxin Synthesis (lauroyl transferase),ddcaACP_c + kdo2lipid4_c  -> kdo2lipid4L_c + ACP_c ,2.3.1.241,35405.77,131
EDTXS2,Endotoxin Synthesis (myristoyl transferase),kdo2lipid4L_c + myrsACP_c  -> lipa_c + ACP_c ,2.3.1.243,37409.219999999994,46.809013666666665
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),hdeACP_c + kdo2lipid4_c  -> kdo2lipid4p_c + ACP_c ,2.3.1.242,36407.33,46.809013666666665
EDTXS4,Endotoxin Synthesis (myristoyl transferase),kdo2lipid4p_c + myrsACP_c  -> lipa_cold_c + ACP_c ,2.3.1.243,37409.219999999994,46.809013666666665
NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),2 h_c + quln_c + prpp_c  -> ppi_c + nicrnt_c + co2_c ,2.4.2.19,32761.059999999998,0.13
HACD4_f,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),h_c + 3odcoa_c + nadh_c  -> nad_c + 3hdcoa_c ,1.1.1.35,78330.795,229
HACD7_f,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),h_c + 3ohdcoa_c + nadh_c  -> nad_c + 3hhdcoa_c ,1.1.1.35,78330.795,229
AACPS1,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),atp_c + ttdca_c + ACP_c  -> ppi_c + myrsACP_c + amp_c ,6.2.1.20,89318.79,21.94
SDPDS,Succinyl-diaminopimelate desuccinylase,sl26da_c + h2o_c  -> 26dap_LL_c + succ_c ,3.5.1.18,41267.84000000001,140
DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),mql8_c + dmso_c  -> h2o_c + dms_c + mqn8_c ,1.8.5.3,188517.35499999998,79.9
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",h_c + 25dkglcn_c + nadph_c  -> nadp_c + 5dglcn_c ,"1.1.1.79, 1.1.1.81",35394.530000000006,6.725
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),h_c + 2dhguln_c + nadph_c  -> idon__L_c + nadp_c ,"1.1.1.79, 1.1.1.81",35394.530000000006,6.725
RZ5PP,Alpha-ribazole 5-phosphate phosphatase,5prdmbz_c + h2o_c  -> pi_c + rdmbzi_c ,3.1.3.73,23307.86,749.8136875000001
NTD9,5'-nucleotidase (GMP),gmp_c + h2o_c  -> pi_c + gsn_c ,3.1.3.5,24928.695,11
NTD10,5'-nucleotidase (XMP),xmp_c + h2o_c  -> xtsn_c + pi_c ,3.1.3.5,26899.58,9.84
ADPT,Adenine phosphoribosyltransferase,prpp_c + ade_c  -> ppi_c + amp_c ,2.4.2.7,19858.28,9.33
ADK1_f,Adenylate kinase,atp_c + amp_c  -> 2 adp_c ,2.7.4.3,23585.280000000002,860.5
OCTDPS,Octaprenyl pyrophosphate synthase,frdp_c + 5 ipdp_c  -> octdp_c + 5 ppi_c ,2.5.1.90,35216.049999999996,2
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),atp_c + ttdcea_c + ACP_c  -> tdeACP_c + ppi_c + amp_c ,6.2.1.20,89318.79,21.94
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),atp_c + hdca_c + ACP_c  -> ppi_c + amp_c + palmACP_c ,6.2.1.20,89318.79,21.94
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),hdcea_c + atp_c + ACP_c  -> hdeACP_c + ppi_c + amp_c ,6.2.1.20,89318.79,21.94
AMANK,N-acetyl-D-mannosamine kinase,atp_c + acmana_c  -> h_c + adp_c + acmanap_c ,2.7.1.60,29643.180000000004,14.804833333333335
ACNML,N-Acetylneuraminate lyase,acnam_c  -> acmana_c + pyr_c ,4.1.3.3,32592.559999999998,6.75
CAT,Catalase,2 h2o2_c  -> o2_c + 2 h2o_c ,"1.11.1.21, 1.11.1.6",82090.47499999999,2162.5
SERASr_f,(L-seryl)adenylate synthase,h_c + ser__L_c + atp_c  -> ppi_c + seramp_c ,2.7.7.-,141986.87,370
DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),2dmmql8_c + dmso_c  -> 2dmmq8_c + h2o_c + dms_c ,1.8.5.3,144053.41,79.9
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,uacmamu_c + unaga_c  -> h_c + unagamu_c + udp_c ,2.4.1.180,27927.410000000003,18.3185
DDGALK,2-dehydro-3-deoxygalactonokinase,atp_c + 2dh3dgal_c  -> h_c + adp_c + 2dh3dgal6p_c ,2.7.1.58,31372.689999999995,14.804833333333335
AB6PGH,Arbutin 6-phosphate glucohydrolase,arbt6p_c + h2o_c  -> g6p_c + hqn_c ,3.2.1.86,54150.596666666665,2
AMALT1,Amylomaltase (maltotriose),malt_c + malttr_c  -> glc__D_c + maltttr_c ,2.4.1.25,78501.15000000001,0.157
MLTP2_f,Maltodextrin phosphorylase (maltohexaose),pi_c + malthx_c  -> g1p_c + maltpt_c ,2.4.1.1,90519.87999999999,47
PACCOAL,Phenylacetate-CoA ligase,pac_c + atp_c + coa_c  -> phaccoa_c + ppi_c + amp_c ,6.2.1.30,48951.3,40
GP4GH,Gp4G hydrolase,gp4g_c + h2o_c  -> 2 h_c + 2 gdp_c ,3.6.1.41,31295.75,250
ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,uacgam_c + udcpp_c  -> ump_c + unaga_c ,2.7.8.33,40956.170000000006,1.2
AADDGT,"DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",unagamu_c + dtdp4aaddg_c  -> h_c + unagamuf_c + dtdp_c ,2.4.1.325,40638.399999999994,18.3185
GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,atp_c + gmhep7p_c  -> h_c + adp_c + gmhep17bp_c ,"2.7.1.167, 2.7.7.70",51049.08,192.40241666666668
TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",udpg_c + g6p_c  -> h_c + tre6p_c + udp_c ,2.4.1.15,53609.63,5.2
UDCPDP,Undecaprenyl-diphosphatase,udcpdp_c + h2o_c  -> h_c + pi_c + udcpp_c ,3.6.1.27,27058.88333333333,9
TREH,"Alpha,alpha-trehalase",tre_c + h2o_c  -> 2 glc__D_c ,3.2.1.28,63694.62000000002,199
CYTK1_f,Cytidylate kinase (CMP),atp_c + cmp_c  -> adp_c + cdp_c ,2.7.4.25,24745.640000000003,68.68233333333333
CYTK2_f,Cytidylate kinase (dCMP),atp_c + dcmp_c  -> adp_c + dcdp_c ,2.7.4.25,24745.640000000003,108.5
GK1_f,Guanylate kinase (GMP:ATP),atp_c + gmp_c  -> adp_c + gdp_c ,2.7.4.8,23591.98,209
HACD1_f,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),h_c + aacoa_c + nadh_c  -> nad_c + 3hbcoa_c ,1.1.1.35,78330.795,229
HACD2_f,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),h_c + 3ohcoa_c + nadh_c  -> nad_c + 3hhcoa_c ,1.1.1.35,78330.795,229
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,accoa_c + acac_c  -> ac_c + aacoa_c ,2.8.3.8,52013.56,290
BUTCT,Acetyl-CoA:butyrate-CoA transferase,accoa_c + but_c  -> ac_c + btcoa_c ,2.8.3.8,46466.54000000001,290
2DGULRx,2-dehydro-L-gulonate reductase (NADH),h_c + 2dhguln_c + nadh_c  -> nad_c + idon__L_c ,"1.1.1.79, 1.1.1.81",35394.530000000006,60503.775
G1PTT,Glucose-1-phosphate thymidylyltransferase,h_c + dttp_c + g1p_c  -> ppi_c + dtdpglu_c ,2.7.7.24,32712.984999999997,12.008
TDPGDH,"DTDPglucose 4,6-dehydratase",dtdpglu_c  -> dtdp4d6dg_c + h2o_c ,4.2.1.46,40154.82000000001,4.9
UDPGALM,UDPgalactopyranose mutase,udpgal_c  -> udpgalfur_c ,5.4.99.9,42964.54,8.72
TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",dtdp4d6dg_c  -> dtdp4d6dm_c ,5.1.3.13,21269.43,39
TDPDRR,DTDP-4-dehydrorhamnose reductase,h_c + dtdp4d6dm_c + nadph_c  -> nadp_c + dtdprmn_c ,1.1.1.133,32693.22,29
G3PD6,Glycerol-3-phosphate dehydrogenase (menaquinone-8),glyc3p_c + mqn8_c  -> dhap_c + mql8_c ,1.1.5.3,148383.26,33.3
ALLTN,Allantoinase,h2o_c + alltn_c  -> h_c + alltt_c ,3.5.2.5,49600.10999999999,310.85
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,h_c + uaccg_c + nadph_c  -> uamr_c + nadp_c ,1.3.1.98,37849.98,9.5
NDPK7_f,Nucleoside-diphosphate kinase (ATP:dCDP),atp_c + dcdp_c  -> adp_c + dctp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
GLYAT_f,Glycine C-acetyltransferase,accoa_c + gly_c  -> 2aobut_c + coa_c ,2.3.1.29,43115.83,27.076333333333338
ADNUC,Adenosine hydrolase,adn_c + h2o_c  -> rib__D_c + ade_c ,3.2.-.-,32559.880000000005,0.5827
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",h2o_c + gmhep17bp_c  -> pi_c + gmhep1p_c ,3.1.3.82,21293.600000000002,35.7
S7PI,Sedoheptulose 7-phosphate isomerase,s7p_c  -> gmhep7p_c ,5.3.1.28,20814.17,0.44
TRPS3,Tryptophan synthase (indoleglycerol phosphate),3ig3p_c  -> g3p_c + indole_c ,4.2.1.20,71687.15,1.49325
CRNBTCT_f,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c  -> gbbtn_c + crncoa_c ,2.8.3.21,45125.45,76.1108
CRNCBCT_f,Crotonobetainyl-CoA: carnitine CoA transferase,crn_c + ctbtcoa_c  -> ctbt_c + crncoa_c ,2.8.3.21,45125.45,76.1108
CRNCDH_f,Carnityl-CoA dehydratse,crncoa_c  -> h2o_c + ctbtcoa_c ,4.2.1.149,28189.389999999996,368.4865
FADRx,FAD reductase,h_c + nadh_c + fad_c  -> fadh2_c + nad_c ,1.5.1.41,26241.19,36.35
GTPDPK,GTP diphosphokinase,atp_c + gtp_c  -> h_c + gdptp_c + amp_c ,2.7.6.5,83873.15999999999,127
NDPK2_f,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c  -> adp_c + utp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK3_f,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c  -> ctp_c + adp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK4_f,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c  -> adp_c + dttp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
FCLT,Ferrochelatase,ppp9_c + fe2_c  -> 2 h_c + pheme_c ,4.99.1.1,38562.426666666666,0.013
HBZOPT,Hydroxybenzoate octaprenyltransferase,4hbz_c + octdp_c  -> ppi_c + 3ophb_c ,2.5.1.-,32510.980000000003,0.002
PNTK,Pantothenate kinase,pnto__R_c + atp_c  -> h_c + adp_c + 4ppan_c ,2.7.1.33,36358.63,1.07
DPCOAK,Dephospho-CoA kinase,atp_c + dpcoa_c  -> h_c + adp_c + coa_c ,2.7.1.24,22621.120000000003,0.0387
HETZK,Hydroxyethylthiazole kinase,atp_c + 4mhetz_c  -> h_c + adp_c + 4mpetz_c ,2.7.1.50,27338.479999999996,14.804833333333335
KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,pep_c + h2o_c + ara5p_c  -> pi_c + kdo8p_c ,2.5.1.55,30831.76,6.1
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c  -> pi_c + kdo_c ,3.1.3.45,19996.58,1.1400000000000001
AST,Arginine succinyltransferase,arg__L_c + succoa_c  -> h_c + sucarg_c + coa_c ,2.3.1.109,38454.67,0.37325
SGDS,Succinylglutamate desuccinylase,h2o_c + sucglu_c  -> glu__L_c + succ_c ,3.5.1.96,35799.14000000001,111.86944444444447
CYNTAH,Cyanate aminohydrolase,3 h_c + cynt_c + hco3_c  -> nh4_c + 2 co2_c ,4.2.1.104,17048.36,46000
GSPMDA,Glutathionylspermidine amidase,gtspmd_c + h2o_c  -> gthrd_c + spmd_c ,3.5.1.78,70529.86,2.1
GSPMDS,Glutathionylspermidine synthetase,gthrd_c + atp_c + spmd_c  -> h_c + adp_c + pi_c + gtspmd_c ,6.3.1.8,70529.86,4.2
GUAD,Guanine deaminase,h_c + gua_c + h2o_c  -> xan_c + nh4_c ,3.5.4.3,50242.659999999996,2.7
TMAOR1,Trimethylamine N-oxide reductase (menaquinol 8),h_c + tmao_c + mql8_c  -> h2o_c + tma_c + mqn8_c ,1.8.5.3,188517.35499999998,1203
TMAOR2,Trimethylamine N-oxide reductase (demethylmenaquinol 8),h_c + tmao_c + 2dmmql8_c  -> 2dmmq8_c + h2o_c + tma_c ,1.8.5.3,144053.41,1203
DGK1_f,Deoxyguanylate kinase (dGMP:ATP),atp_c + dgmp_c  -> adp_c + dgdp_c ,2.7.4.8,23591.98,510
DTMPK_f,DTMP kinase,atp_c + dtmp_c  -> adp_c + dtdp_c ,2.7.4.9,23782.42,3
NDPK1_f,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c  -> adp_c + gtp_c ,"2.7.4.3, 2.7.4.6",19524.12,458.5
TRDR,Thioredoxin reductase (NADPH),h_c + trdox_c + nadph_c  -> nadp_c + trdrd_c ,1.8.1.9,48284.295000000006,0.25
PGMT_f,Phosphoglucomutase,g1p_c  -> g6p_c ,5.4.2.2,34234.253333333334,126.8
FRUK,Fructose-1-phosphate kinase,f1p_c + atp_c  -> h_c + adp_c + fdp_c ,2.7.1.56,33754.649999999994,14.804833333333335
RHCCE,S-ribosylhomocysteine cleavage enzyme,rhcys_c  -> dhptd_c + hcys__L_c ,4.4.1.21,19415.619999999995,0.4
KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,h_c + 3dhgulnp_c  -> xu5p__L_c + co2_c ,4.1.1.85,23510.825,54.25
X5PL3E,L-xylulose 5-phosphate 3-epimerase,xu5p__L_c  -> ru5p__L_c ,5.1.3.22,32229.935000000005,9201.8125
DOGULNR,"2,3 dioxo-L-gulonate reductase",h_c + 23doguln_c + nadh_c  -> nad_c + 3dhguln_c ,1.1.1.130,36571.61,213.43394333333333
BETALDHx,Betaine-aldehyde dehydrogenase,nad_c + h2o_c + betald_c  -> 2 h_c + glyb_c + nadh_c ,1.2.1.8,52909.49,49.465
BETALDHy,Betaine-aldehyde dehydrogenase,nadp_c + h2o_c + betald_c  -> 2 h_c + glyb_c + nadph_c ,1.2.1.8,52909.49,60.384
MLTG3,Maltodextrin glucosidase (maltopentaose),maltpt_c + h2o_c  -> glc__D_c + maltttr_c ,3.2.1.20,69038.91,845
DKGLCNR1,"2,5-diketo-D-gluconate reductase",h_c + 25dkglcn_c + nadph_c  -> 2dhguln_c + nadp_c ,"1.1.1.274, 1.1.1.346",30272.379999999997,8.315000000000001
NADTRHD,NAD transhydrogenase,nad_c + nadph_c  -> nadp_c + nadh_c ,1.6.1.1,51558.89,167.9
FMNRx2,FMN reductase,h_c + fmn_c + nadph_c  -> nadp_c + fmnh2_c ,1.8.1.2,59246.63,263.2083333333333
ACPS1,Acyl-carrier protein synthase,apoACP_c + coa_c  -> h_c + pap_c + ACP_c ,2.7.8.7,17909.54,1
GMPS2,GMP synthase,atp_c + gln__L_c + xmp_c + h2o_c  -> 2 h_c + ppi_c + glu__L_c + gmp_c + amp_c ,6.3.5.2,58677.40000000001,0.43
AMPN,AMP nucleosidase,h2o_c + amp_c  -> r5p_c + ade_c ,3.2.2.4,53993.17999999999,60.666666666666664
GSNK,Guanosine kinase,atp_c + gsn_c  -> h_c + adp_c + gmp_c ,2.7.1.73,48447.28,14.804833333333335
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c  -> glu__L_c + 4adcho_c ,2.6.1.85,71721.23000000001,0.67
ADCL,4-aminobenzoate synthase,4adcho_c  -> h_c + pyr_c + 4abz_c ,4.1.3.40,24245.285,0.82
DHAPT,Dihydroxyacetone phosphotransferase,pep_c + dha_c  -> dhap_c + pyr_c ,2.7.1.121,184899.31999999998,2.8
UMPK_f,UMP kinase,ump_c + atp_c  -> adp_c + udp_c ,2.7.4.25,25357.585,229
DDPGALA_f,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,2dh3dgal6p_c  -> g3p_c + pyr_c ,4.1.2.21,21390.07,0.94
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),duri_c + atp_c  -> h_c + adp_c + dump_c ,2.7.1.21,23455.869999999995,2
UPPRT,Uracil phosphoribosyltransferase,ura_c + prpp_c  -> ump_c + ppi_c ,2.4.2.9,22532.61,0.65
CTPS2,CTP synthase (glutamine),atp_c + utp_c + gln__L_c + h2o_c  -> 2 h_c + ctp_c + adp_c + pi_c + glu__L_c ,6.3.4.2,60372.310000000005,3.8510000000000004
NTD1,5'-nucleotidase (dUMP),h2o_c + dump_c  -> duri_c + pi_c ,"3.1.3.5, 3.1.3.89",23790.425,5.2
NTD7,5'-nucleotidase (AMP),h2o_c + amp_c  -> pi_c + adn_c ,3.1.3.5,24928.695,750
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",ugmda_c + udcpp_c  -> ump_c + uagmda_c ,2.7.8.13,39873.72,5.3149999999999995
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,uagmda_c + uacgam_c  -> h_c + uaagmda_c + udp_c ,2.4.1.227,37813.75,0.64
F6PA_f,Fructose 6-phosphate aldolase,f6p_c  -> g3p_c + dha_c ,4.1.2.-,23275.430000000004,25.7
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,adphep_DD_c  -> adphep_LD_c ,5.1.3.20,34892.04,9201.8125
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,h_c + atp_c + gmhep1p_c  -> ppi_c + adphep_DD_c ,2.7.7.70,51049.08,370
IDOND_f,L-idonate 5-dehydrogenase,h_c + 5dglcn_c + nadh_c  -> nad_c + idon__L_c ,1.1.1.264,37145.479999999996,213.43394333333333
IDOND2,L-indonate 5-dehydrogenase (NADP),h_c + 5dglcn_c + nadph_c  -> idon__L_c + nadp_c ,1.1.1.264,37145.479999999996,7.327500000000001
GLYCLTDx,Glycolate dehydrogenase (NAD),h_c + glx_c + nadh_c  -> glyclt_c + nad_c ,"1.1.1.79, 1.1.1.81",35368.44499999999,27.275
HPYRRy,Hydroxypyruvate reductase (NADPH),h_c + hpyr_c + nadph_c  -> nadp_c + glyc__R_c ,"1.1.1.79, 1.1.1.81",35368.44499999999,29.733333333333334
ACODA,Acetylornithine deacetylase,acorn_c + h2o_c  -> ac_c + orn_c ,3.5.1.16,42346.11,2700
ADA,Adenosine deaminase,h_c + adn_c + h2o_c  -> nh4_c + ins_c ,3.5.4.4,36396.5,11.5
DADA,Deoxyadenosine deaminase,h_c + dad_2_c + h2o_c  -> nh4_c + din_c ,3.5.4.4,36396.5,1.42
ADD,Adenine deaminase,h_c + h2o_c + ade_c  -> nh4_c + hxan_c ,3.5.4.2,63737.579999999994,141.2
ADSS,Adenylosuccinate synthase,asp__L_c + imp_c + gtp_c  -> 2 h_c + pi_c + gdp_c + dcamp_c ,6.3.4.4,47343.43,1.59
